181,119,77
169,64,76
142,86,40
146,64,43
144,112,49
177,113,78
154,73,66
148,89,29
172,98,78
196,84,81
177,65,27
182,102,25
154,107,68
152,101,22
142,102,45
180,80,38
170,101,52
169,110,87
192,113,54
198,107,69
186,88,75
155,108,28
181,76,41
186,64,86
175,120,71
190,88,81
196,69,24
221,82,41
141,84,32
151,94,51
141,108,33
197,76,28
169,82,76
188,67,52
167,91,87
170,108,84
165,115,42
194,68,52
193,73,84
178,78,32
157,90,68
157,73,41
154,82,70
182,83,45
187,104,71
190,109,22
189,105,66
155,72,50
188,63,56
178,119,78
154,60,89
163,91,54
167,68,62
170,92,46
172,114,49
161,87,41
157,70,66
182,82,66
196,76,55
176,120,51
176,114,51
185,98,53
162,78,87
167,94,90
171,107,37
196,65,74
167,104,85
178,87,32
168,68,90
173,65,75
142,114,56
188,87,66
180,114,27
152,84,28
140,93,77
186,65,57
174,107,81
179,67,28
178,66,23
184,94,31
194,119,33
180,85,60
147,90,79
183,107,20
167,95,32
179,88,56
179,88,57
181,80,90
143,98,90
153,67,37
150,94,40
196,115,40
171,80,64
181,79,36
180,95,53
144,101,44
153,98,20
157,116,47
195,80,62
153,85,65
155,80,33
181,74,75
179,84,38
182,45,54
191,71,28
184,97,52
141,69,88
175,75,36
196,108,51
145,74,66
173,82,48
196,79,41
152,114,79
172,61,56
147,98,88
185,74,89
159,103,25
151,64,64
199,119,79
183,84,77
190,110,52
181,77,35
182,60,26
172,95,33
151,63,73
170,96,43
174,97,29
190,107,50
152,93,37
172,88,55
189,80,83
161,77,50
173,111,78
183,72,19
152,68,21
179,94,65
140,101,79
171,82,42
174,101,75
140,81,36
194,110,43
190,100,87
187,81,53
188,64,30
162,96,88
149,114,77
161,118,64
179,86,25
196,116,76
145,34,74
185,117,47
143,60,29
186,86,35
168,96,45
142,108,42
191,119,36
150,111,37
147,120,34
156,99,19
159,69,24
176,61,24
181,117,86
200,66,61
200,94,66
186,106,74
156,92,67
198,88,60
165,103,54
153,76,37
178,88,65
140,112,45
142,95,33
150,120,18
152,117,88
183,117,62
167,94,74
191,60,51
163,79,49
191,113,83
185,70,66
175,112,21
149,100,67
172,66,90
168,119,29
163,72,65
145,93,48
155,61,43
160,95,90
162,86,54
148,71,75
159,116,44
157,109,74
190,100,31
160,78,39
193,63,62
156,64,34
187,100,54
177,93,62
141,89,19
182,94,37
140,109,69
181,108,53
193,66,56
166,90,87
178,64,63
175,112,83
153,113,82
187,114,55
157,98,21
196,102,37
158,84,83
172,107,43
160,77,41
154,67,80
173,112,56
